0---C4C9H4H7CK;C3H6D3S9D8
1459---H2C8H6D5HA;H8CQHKDKD2
1461---H3S6C8D9D8;C7C6S3D5H7
1463---DAHAS7S5DQ;H2D3D9H7CA
1464---C3D10C4SQS10;C5C6CQH4C2
1467---D2S5H2CQC4;H10C6SJD7H7
1470---C6C10HAH9D5;H6H10D7C3H7
1475---C10D6D5H8S3;H5CAHJD4D7
1478---DJS7D6SQH6;C7HKS5H3CK
1481---H4S6D3S7C5;C9C6DKD5CJ
1485---S3HKH3S5SJ;CKS2HJCQHQ
1490---H7S7C10CKC5;D7H10H4C7S3
1491---H8S10DJCQD4;D9H10C5D5S5
1494---H6DQCAHAH4;DKDJC3H5C2
1496---DAS5HADKD10;CKH3D5D8S4
1500---S5C9CQS10DJ;DKSQSKS4C10
1506---S4CKH10HQH7;S8C7C2SJC10
1509---S7D8CADKHJ;C2H6C9DAH9
1512---D6C2H7S5D3;DASQH9DJD5
1513---D7CACKSQDA;DJC5H4H3C2
1515---S9D7D3D6S8;SQH2CQSJHA
1520---D6DKD3CJH8;HQD10S3H6S8
1521---S3C7S8D2S6;D4C8H2D7HA
1523---C8DQS5D4C3;D7CAH5DKD3
1525---DQS8H7H3C7;SQCQC2HKC3
1527---CKH3D3DAH9;CAS9C4SQS5
1530---D10C9SQH9D3;HQH6H4C3C6
1532---H2CKD10H10S10;D7D4H4D2S7
1533---D7D5C10H6DJ;DQD2S8C9D8
1535---C4DKD3CAH2;CQH7H3SKH8
1539---C7C3DAS9C9;S6C5HKH10CJ
1542---D10C4D7C3C2;D9SQC8SKHA
1545---H6H5S9C4S2;HKH2DJD8H9
1546---D3S3D9S2D7;C7C9H2HJC2
1548---SJS4H5H7SK;C4S7S8D5C8
1551---S9C6CQSQCK;DQDJC5S7S8
1552---H2DAHQHAC10;C2CAHKC3C7
1553---CAH8S2C8S7;D9H10SKD8DA
1554---SQD6C8S6D3;D7H4DJH6S7
1560---CQS3D7S6S7;C7CKHAHJH2
1561---C2H8H6H7S4;HKD2S6D6D3
1565---SQS4D4DQH7;C7H3S3C4HA
1567---HQCKC3D3CJ;S6H6S4C6C8
1569---HAD7DAH4H3;D6S10S6C3C2
1570---SQDQDKC2D3;C8C6HACKC4
1571---DJS9H5C7H3;S3DKDQD10D2
1572---S4D4SKD6H7;S5H4C7CAHA
1573---C7HJD5SQDJ;H8C9H3C2D8
1574---CAH5C2H6S10;C6CKH2S7C4
1578---C5H6D8DASJ;H3CADQS7HA
1580---HQHKSQH4D7;D10S7D3S10S5
1581---CQD3H7C8S3;D10S10C2HJC6
1585---S5HJDAH3H5;S6CAD5C4S4
1587---C7SKC6H2C8;H8C10D10H7CK
1590---S3H8CAS4S2;H6CJD8D10SK
1593---C8D7S4DJD3;S10D8S9H3H9
1596---HAS8H8D8D9;CKCJS5SQSJ
1597---CKC9D5H8S5;C10S9D7CADA
1600---HQDQCQD7S6;H10D6S4C5H8
1603---H8CAHQS6HK;C6S8D4CQH4
1605---D7C10DJHKH4;D3HQS4S6HA
1611---CAH2S8D5DJ;HKSKC2S5C10
1613---D5H6H9CJC7;C5D7H5S10H2
1614---D7D3S4SKH7;D4S9S6C8C5
1615---C4S4SKS9C3;SQH6H5CKS3
1621---C9H8DJC8C6;H7S3DAC5CQ
1622---HAS8SQS3S5;CAS7D2H8C3
1623---H3D9C5D5DJ;C8DKS3D3H2
1625---C2H2SQC4SK;H10D2D5HQH6
1627---C2C3C8C7H3;D8D5D7D3S7
1634---H9H2CJS5H6;S4D4H4D6S10
1635---S4CJC5SJD8;D7C8H9DKS10
1636---H6C2DJC5D2;D3S3S4C4S2
1637---CAHQCJC9D5;DADQH6D9H4
1639---DKH2C3C9S6;D2H3C8SJCJ
1640---DQHAH2S6D3;H9S5C5C8C6
1641---S8DKSJC2D4;SQD6C4S4HJ
1642---D6S8SJD5H8;D4D7DJH7C6
1644---D6H4D4S3H9;HAH6DAH8D5
1647---DJD8D9SKD5;H6C8S4SJH3
1650---HAD9H4DKC5;SJD4CAS5CQ
1655---DQC3S3D5S7;H2SQC7D10CJ
1657---D8S10D6S2H10;SQSKH8H9DA
1660---D7H7C2HAS7;DKC7D5H5H10
1661---C5H4C4C2C6;D8H5S3D4CA
1666---C8C9D10D4CJ;S5H4D3CADA
1667---CJCKSKH2CQ;C4H6S3H5S10
1675---H6C2SQD10C9;D2C3H2D6HA
1676---SJD10C7S10H7;H10C8D8C2D2
1680---CAD10H10HAD3;H6H3H4C6CK
1690---D7D10C2S3D2;DAS7D3H10H4
1691---S8H5S6C3D5;H10H8HQC6S4
1692---HKS3C4CQS6;D10SKH3C6CK
1695---SQC5CQS3C4;DJD3S4C8C3
1696---S8S7C8D10H9;HAD4C3CAS6
1700---D9H8DKD7D5;CAH2S4C5D8
1703---S7H8S6C6S8;D3C7HJCQDK
1705---H3S8C2CQDK;C9DAH6H7D7
1713---C8D3S10D8HK;D9DJCKH4S2
1714---D2D5D6HJDK;CKH7D4C10DQ
1716---D2H2C10H10D7;S2D10SQC3H9
1717---D9C2DQH2H7;HKH4D2H8S8
1719---HADADKC10S2;H9SKH10CAHQ
1721---DQSKS8CKH7;C2S4H5D10D5
1724---D8HKC5SKS6;H7DAS10S8H9
1726---S7S3C2CJDK;C7H9H5S8C8
1727---D2HJS6H7H9;H3C8C3S4H2
1734---D4D5H2D7DQ;HKC8SQC3S10
1740---H10S10C8S6H3;DJC7D4D3H4
1741---D6H2D5CADK;H5SQS8S4D2
1742---CKC6D2D5S2;C3C8H2C9D8
1743---S2D9C4S8C8;CKCJHJH8C9
1749---S7H5C5S6H2;H9SJS3HAC9
1750---D5S4DKHAS7;H8HKSQC9S10
1752---CJCAH10H5S9;D3D10SJC6D7
1754---D2C2D8CAC9;C7HAS9D10DQ
1755---H6S10C9CJD3;H7HQC3DKS5
1759---S9C5D9D5S8;DJD6S3SQS2
1760---C3SKD8C6H5;S2D2C9H4H9
1762---CKD5S4HQD8;S7H6C7HJCQ
1770---SQS3H2D4C8;H3D8C7D2HK
1771---H7S2DKS4D5;CKC5D4H6C2
1773---H10C6D8D10H9;DQCKS5C4H3
1774---D3H6H10S5D10;D4HQD7D8HJ
1776---SQSJS7DAD8;C9H7CAS5D6
1779---DJS5C5HQD3;H2C10C8HKC7
1782---C7C2C6CQH5;S6C5S4H3H9
1785---H5HAD6S7DK;C6SJDJD10S4
1786---C4H3S3DAHK;D3C7DJC9HA
1789---H7S8S7S4C9;S5HKH5H2C8
1790---SKS5S4C10D5;D10H9DQS6HJ
1795---C8H10CKSJD4;D6H8C7H5S10
1796---DJS7C2C4D5;D2HAC9H9C5
1797---S2CJH10H5H2;SJC6D3SKD10
1799---C2HAC3H4C9;H5C8C4S7D6
1800---S3S5CQH10H6;D5C6HJD10H9
1804---D3C9H2HJC6;DQC5H4H5H7
1806---H7C8SQC7HQ;S4C9S7S6D7
1807---C3C9D7H5H3;CJC8HQS2DJ
1808---H4C3D5S2C10;SKH7SQHJC8
1810---D2S9DKC2H10;C7C6C3HQC8
1817---SJH6C10H9C9;D5D2S9D6H8
1819---C8HJD6H7H8;S4S8S10D2S6
1820---CQH9H7D9SQ;CJSKH5D3H8
1821---D7H3S9C7C3;H8HASKD9D5
1825---HAD8S8CKCJ;DJSJC3D9DQ
1844---C9S8C6C5S6;C2S3D5CQH9
1846---C2DAH4C6D3;S6CJHASKD10
1848---HAD4H3C9S6;H8CJDKH9H2
1849---C7SQDAD3S3;S2C9S7HAS9
1850---DAH5HKHASK;H6S2H4D5S5
1853---DJSJD4H10D7;C4C2H9D9HA
1854---S8C8H3D3H9;S3D2C6C9C2
1856---H2D10S7H7CK;HJDADJH9CQ
1861---DKCQH6S5DJ;H3CJHAH7C7
1864---HKH9H6H7S8;D9DJS6CAS10
1865---HAH9H6H5CQ;H2D6S7S3DJ
1867---D4SJH4CJC5;SQDQS8DJH8
1868---H7H10DJCAS8;CJCQC10DKD6
1870---H9C6C2D3D10;C9S2DQCQD8
1872---HQH7D9S9DA;C3D3C10CQD4
1876---C2H9H8S6CQ;DJD9C9SKHK
1881---H9D6S8SKC4;S10H10D10S6CA
1884---DJHKCAD7D4;DAH8SKS10H10
1886---C7S4D6CQD4;H8HJS6C4HK
1887---C9H10CKC8H4;D3SKS7C7C2
1890---H7CKD5S3DJ;S9H8H2H10HQ
1892---S2HJHQD2H2;SJD7H10DQS9
1894---H5DAHKH9H8;H4HQH6CJD5
1896---S8H9S4C9D9;C10HQH10S7DA
1900---D9H7H5S9S2;SKCAD4H8C5
1902---CJS8S7CQHK;DAS5S10H6D4
1905---C5D4S6S8CQ;C10HKC8D3H2
1906---H9C2C5D3H2;C10H10HKS5H8
1908---H4D9DASQH7;S2H3H6C7CA
1909---HJH2H4H10HA;D10HKD8C10H5
1910---H9DAH7S2CK;H10C2C10D2S6
1912---D8C5H4SJH9;S7D6S5D9D4
1915---H7S4D9C3H10;CJSKDJH2D2
1916---CAH3HQHKC8;S3C9DAC10C4
1917---SKCKC4H7H8;HAS10S6CJH10
1923---SKDKHQCAD3;S5C8H6HKS9
1924---D3S9C4H9H6;S10H8D9HQD7
1925---D7S7S4D10HA;H5DAHQD2C4
1930---C8H5D10CJD9;C7S2DJS6D2
1931---S9DJC2CJC4;S5C10DKS6SJ
1932---H4C3S4S9DJ;DKS8H2CJDQ
1934---C9S8SQH9HJ;S6C6C5C8D5
1935---CKD6SJH3H2;C10SQD3C8D5
1937---C3C9S10S3DQ;H4D9DJC6SJ
1938---C4D2CAH6S8;S10D9D6H10HA
1942---C7D2SQH4S6;S7C9C6S3H5
1943---D3CKD4C5H9;S4HJS5S2H3
1944---S2H3S5D6C3;SJCKH10HQH9
1947---S7H3C4C8D10;D9D8HQS2D4
1953---CJDQD5D6D3;H10H4C8SKH3
1954---D9H8D5CKC4;D7CADQC7D3
1955---H10C3D3HACK;D6S10H3DKC4
1956---H5H3S2S5D7;S3HQC2S10D5
1961---HQD9S9H4S5;CAD7C5C3DK
1967---D2D7C9H4S3;S9DAD3S8D4
1971---SKD9HKC3CJ;H8S6HJC6C7
1972---H9S2DKD4H8;S4H5H10C3D3
1973---S4H10S3DAHJ;D7D9DKH9S6
1975---DADQH4HQD7;SKH7D6D10H2
1978---S6HKH8C9C5;C10H2S2H6H9
1982---D7HJD10DAC6;C8HKD3CJD5
1985---CJS6DKSKCQ;SJS8D4DJC8
1986---HJHKC4DAD7;C2H9C9H6S4
1987---SKH8S4D7CJ;DJH7CKH10CQ
1988---HKH8S7DQS6;CKH9D5S4C6
1997---D2D5H9HKC9;C6DQH6S7C7
2002---H8D10S4CJH3;S10D8H5S3H9
2005---H7C5D8D2C9;H9C7D3CKCJ
2009---C4C6SJHKC5;HJH3H6S7D4
2014---C2SJC3H4DK;S4HKS3H2C9
2017---CADJC3CKH5;D3H4HQS3S8
2019---S3C4S10D9SJ;H9H8C6D8D3
2020---C4SQS6S8H8;DQH6HAC9DK
2021---D4S5D9S2H4;DKHJSJDQDJ
2025---CKD3DQS7C4;H8C6HJS3D9
2026---HQH5C6S8DA;H6SQHKC7H4
2029---CJSQD7C8H10;H7D6HAC2SJ
2031---C9S9D3DASK;DQCAD7DKD10
2033---D8D3H9D9S4;S8S7D7H7H5
2036---H4SQC5H5S10;S8H6S4C9D7
2039---DQDJD5HQS9;H10H6D2H2C8
2040---C5C9D8H10CQ;S8H2DJDASQ
2043---DQHKS8C3DK;C7C9SQH3D3
2044---D2HKH5H4D9;H10CKD3D6CJ
2050---S5S7S4S6C6;C8D10S9DJC7
2051---H2D9DJS5DK;S2D4DAC10SK
2055---DAC5S5S8D3;HJH7H5S2DK
2057---D5H7H4HQCJ;H3C5S6D9DA
2058---H3S5DAHQH10;D10HAS2CQC7
2062---D6DACQD7D5;D9C5S5D10H3
2063---HAH7CASJS5;DJC4S8S4S9
2064---D2H10S2S7C7;S8CJC3C4SQ
2066---HASJH2C9H10;S2H5DAC7S5
2067---H10S10H3CACK;D8S9H2HJH8
2068---S2D5HKC7CK;CQCJH2C9C4
2069---H10DQHAC4H4;DKHKC2D4C10
2071---H8C8S2S3H5;C2D9C3C5HQ
2074---D7S7D6D10CA;D5H9C7H4DQ
2081---CKH9S6DQC9;HKCQC3S4C4
2083---H9C7C5H8D5;DQS4HJS3C10
2085---C9H9HAD6C6;C2H4C7D2DA
2086---D7D2HACQS7;S3D6C7H6H7
2089---HJS3C2SQD2;S2S7S8DKS4
2093---C6D2H8CQS7;H7H3C8S2D10
2094---D9CKC7DKS8;S3C6S4SJD4
2095---C5S3DJS6CJ;C3C9H2SKHA
2098---C8S5S8D3SK;H9H10D7DAD9
2100---H10S7D6DAC2;CQH6HASJCK
2101---D7DQH4C5CJ;D4S10CQD6D8
2104---S2DACQS10S7;S8D10H3CJS9
2105---H10D4S2HQD5;S9C7DACJH5
2108---C5S6DAS8SJ;H5C9D3D7CJ
2111---S6C9SQD9H6;SJD3H10D2CA
2112---S7C9C8CJH9;HQS2DJC4C3
2114---S8H9HJH10H5;H4CAC6DAS3
2117---H3SJD4HQHA;D10C5CASQD2
2121---C8S6SQDQH9;SJD10CJC2HJ
2126---C8DJC10SJS6;HKS2C5DKD8
2129---S2S8S6D4H7;S4SQH5DACA
2131---CKSQD9C3D3;DQD6C2H8S9
2138---C7C5S2H6DJ;S3D3H4H9S5
2139---S7CQCAS5DJ;H9C7DQD10C4
2140---C9D8S3C8D4;DQC7S6C3S9
2141---C5D10DQD2C7;C3HKH8H2S3
2143---D4S8S6S3D2;D7D3H3SQH10
2144---DJDAHAD2S2;S4D6CJS8C7
2146---D6C2H4D3CA;D9C7C10SKHJ
2147---C8C3D4S6H10;C7DQD6H9H3
2148---S8D4S7H7D5;H9H10S5C10HQ
2153---HQHJD9D6H8;C10H2S10CJC4
2155---D10DACJCKCQ;HAH9C3H10C8
2158---D4S2HASQD5;C10H7CAH3S5
2160---CKH5C9S9S4;DJCAS7SJSQ
2161---C10S10C4C9H5;DQDJD10SQD9
2165---CAD3D4S4SK;C2H8H10SJDJ
2167---DJCJS8H8D6;S2C2D9D7C9
2170---C7D3C2HACK;H10D5C10SJD10
2171---CQDAC5D8SQ;S7D5CKS5H8
2172---D8CQCJC6S5;HQHJS9C3S7
2173---C8CQH5DJCA;HJS8C3H8D10
2181---S3S6C8H10D9;D2D6C4CQH5
2182---C6H10D9D8CQ;D7SJH4HJD4
2187---D8DACJC8DJ;HJS10H6S9H5
2188---SJCAD2CJC3;H9D5D6C9D9
2189---D2S4C8D3S7;S3SJSKHQS2
2190---SQCQH4CJS8;S3C5D2H2DA
2191---H2CAD2D9HA;HJCQC6C4D7
2192---DASKD6D7S6;HAS9D9HJH4
2193---H3C6SKS6C7;H5C5H4C9DJ
2207---C2D10H10S2H3;SKH2C6HQHK
2210---H7D8D7S9S3;CKC10C5D6H4
2211---CJH8CKH6CQ;C4H3HAC8H9
2212---C2H2D6C6H10;C4S7SKS9C7
2215---C9HQSJD6DQ;C5S4D3D7DJ
2216---H5S6C6D10D5;S4S3D9C8C2
2217---C7C4HQS10SQ;DJS2DAH5C8
2218---DQH9HJSJH4;D8H7S5HQD10
2220---C5S3C2D10S5;D3H9H10H5S2
2223---CKH4S9H2HQ;H3HKS4SKH7
2225---H9D9S9HQDA;S10C8DJD10CA
2226---H10S9D3C3D8;H7HQDKDJH9
2229---H8D4D9HQH9;D6C10C5S9H6
2231---H4HKH5CQC4;D7S2C5CKD2
2233---C7H3S10S9DK;S7C2S6SKH4
2237---DAH7C5S10C6;CKSJC2C8S5
2239---SQDJC4H3H9;S8H10D2SKH2
2242---C4HAS7C5S8;H9DJH3S9C8
2244---S9S6D7S3C2;S10H4S5D3S8
2245---H6C9C10H8D3;D9DAC7H2S10
2250---C3C2DQS6S3;S8SJHAH7D4
2255---C6H7DKSKD6;SJH10S7D8H9
2256---C6H7D3H10C10;S10DKCJH9HJ
2257---S4D5S6H10D6;H8S5HJS2C9
2259---D2H10C10H6C7;H4CKS4C5DJ
2260---D5CJD8S9S8;C10HQD7H10S5
2261---HQC5D7S7C2;DQSJD10DKSK
2262---S8S6DQHKC9;SJC4D3H8S9
2269---C2D3S5D7H5;CQDKD5CKHJ
2273---CQSJC6S2C8;SKC5D3DKH10
2274---CJD9H10DKDJ;D4S10H4S2CK
2276---D8DKS6SJDA;DQS3H9C8C5
2281---S8SKC6C3S4;H8D4C4D5D2
2282---DAD3D8C9C4;H7D2H8H9CQ
2284---H6H2H5H9CJ;C3S8D9D5S4
2286---C8SKD4H2C7;HQCJDQS4D2
2287---HJD5H8H6D10;C6D8D2H10CK
2288---S4CACQDQC2;C10SQD2H9H5
2293---H6S6CQH8H2;C9SQH9HADQ
2298---D9D5C4S4S9;DKC2S3DQHJ
2303---HKS8H7S10D9;CKDKC10CQD8
2306---C6DKS10D6H9;DAHKC8D10H10
2307---D10D9C5DJC2;DAHQCQCJD3
2309---S4C3DJD9D5;CQHKDAC7C5
2313---S4H5H7C10S7;D6D3S8H10DA
2315---D6DQC6H4H10;C10HASJS9SK
2317---C3D6D7D8CJ;H9C5D9DADK
2325---S3HASJHKC7;D9CKD7H3H5
2330---S6C4S7DKC5;C2C3C6D2S3
2332---SQS4D8H5SK;H8C6S9HADA
2333---DQC2C6HJD3;D4H8H7SKH3
2337---DJS9D8C8D9;S8SKC6CQHQ
2338---DACJH3SJD9;S4D5HAC8DQ
2339---H10S4D7C5CQ;HQS10S3S2C2
2340---S10D6H4HJC5;HQS9D9HAS7
2342---C7DQD5D3C4;SKD9S8SQH2
2345---C9S4D9D3S7;D6H9H7D10S3
2348---H6H10DJC7D8;DQS8DKC3S10
2349---CQH7D2H6D5;DKH8CJC8C10
2350---D6CQD2H5CK;C2C8S8CAC10
2352---S5CJHKS4C3;H2H5HAH3D3
2354---C3SJH5S10CJ;C9DKCAD10D9
2355---C3C2S3CQH2;C4D10DQC10H5
2358---DQC5H7S2D8;D9H10S4S5HA
2360---SJC6S6C5CJ;DACKH9H2D6
2363---S5S3S4D4D2;CQD9H2SKC8
2364---H9H10HQSJC4;DKCJD10HKCQ
2365---DKDAH7CQS3;HAHQC3D4C9
2369---H5S4D8S8C10;H4SQCJC3DK
2371---S7CKS4H4C2;C9DAH5S3SK
2373---D10C8S5H2C9;C7DQH10HAH9
2374---S5D9C2H3S4;H9C9D2CJH6
2375---CQS7DKD5HA;C7C3D2S8S9
2379---HAS5H9H6HJ;H2D4S4C5D8
2380---H3S6H10C9DQ;D2C4CKS4C6
2382---CJH7H10CAH3;SKC4D3HQDQ
2385---H2S8D3CAC3;C8H6HAC4CK
2386---C9H2H7D6CK;S7D3HADKCA
2390---D2C5C10SJCQ;HKD9HQCJD8
2392---S10C2H9HKH2;D7DKD8SJCJ
2393---H5S5HQDAD4;C6HKS3H4S4
2394---SJD4D3HAS5;DKDQC9DJDA
2398---H2S4H4D3C8;CQCKC3C6S10
2399---D9HAC6H8S5;S2S7DAH6D4
2402---DKHQH4S2HA;S8HJCKSQH3
2403---SKC3H2H8CK;S3D5C2H10D8
2404---CKS10C4DKD7;SJD10SKH5DJ
2405---C9HAS2CAC2;DJSKS4D2H7
2411---H5D2DJS4S7;D3DQHQH3H7
2412---D7D10S7DJH5;S8C10C5CKDK
2414---S9D7C7HQS8;HAS10D10SQHK
2415---HKD3S7C10S3;D7SQC4C5C8
2416---C4DKCQH10S8;H9H8C5DJC7
2417---S7S8C7CAS4;H8H3S5HKC5
2419---S8DQS4D9H5;H10D10H6S5C7
2420---C2S2D4HJD2;H10H9D3D10C7
2430---H4SKD2S8DA;D4H6CJHKC8
2433---CJH9S4H5D4;H6HJH2S5D5
2438---SKC6S7S4H5;H2D10DAD6S9
2441---D2D9DJSKH5;S5D5H3C9S10
2443---C2S3S6H10C7;CJD8C9C3D9
2444---DQC10D2S10DK;C7SKH10H8C3
2446---D7D9S8S4C3;C10HQC6D3D10
2447---DQCKS3D5C4;HQCJS9C7D7
2449---S2H4C10HKC7;SJC9H2C2D10
2450---D8HJD2H10H2;S5C4C2C9C7
2452---D10HAH8C7H4;S9C4H3C9S8
2453---C8H9C2CJS10;CAH7S6D9D7
2454---S7D10C6H4H2;H8C7HJD3D2
2455---S2D8D2S8H8;CQD5D9CAC5
2462---D9D10CJH4HJ;CKH8D6H3H2
2463---DQCQH7C6C2;D9D10S7D4S9
2465---HKCKH2HJC3;H9D7D9S10DA
2468---HQD5HKS4S8;D3D7H7H6D4
2471---HJDJD5SKS8;S5H4HKDKSQ
2473---H9SJS4H8SQ;CJC4C9CQS10
2476---D6HQHADAC5;D5S8H7C3SQ
2477---S10D4HAC10DA;S6D10C4S7SJ
2480---H3C7DAC8C2;HQS4SKC10HJ
2484---D8DKHJDAS6;C10H2S2S7S8
2485---D4D7DKCASK;HQH6S8DQHK
2490---H5C9D8D5C5;D3D7D4C10CK
2493---C6C2H7DACQ;C5CAH9S2SJ
2494---H4C10DAH10H6;C9C6D3C5SK
2497---D8D6C6D3SQ;S3C4S5HKC3
2498---D5C6DKS2S6;CAD3H2D9C7
2500---D2C5S2SQCA;D4S7C9HQH10
2502---D9C5H4H7H6;SQDKS7S3D4
2506---D7S4C3CADJ;D8D4H2DASQ
2508---HAS5S2H4DJ;S10H10S4H2SQ
2509---D2C9SKDKH6;H3D8D9C6D10
2517---DAH10S7C4D4;C8D10H2HKC3
2521---D8D3H9DQCA;S10S2C2C8CQ
2529---D10S7C3SJH2;S2DAH5H10D9
2530---HACQS4C2S8;C10D7HKH6D4
2533---DKD3S8C5C10;HJSQDJCAH5
2537---D3D5S6C9CA;HJHAH9H7S2
2539---S7C5DAD5D4;D9CJH4CAC9
2541---H5SJDKC8D10;H6S8S10CQC4
2544---H2D3HQCKCA;CQS2C8D8S6
2545---S5CAS8H3H7;C8HKH4D8DK
2547---CAH10C8C6DK;HJH9D6SKD3
2548---S2D7CJH7H5;CKH6D6C5DJ
2552---C7S3D9SJH2;D6D10D4S8S6
2554---S4C4H5HJH9;H7C10S2DAHK
2555---H7C4D4S9D2;D9HAS7C3D8
2557---D4H8H10H7DK;CQH2DJC5D8
2559---CASQH5D6HQ;D4S4H7C10C5
2561---S4D3D8DQDA;S3H5C2S5S10
2562---C5D9S9H3CJ;DQH9C2D7SQ
2566---C2C7HJC4S7;S6C6D6HAS10
2570---DQS9C8D6HA;DJC6C9C10H4
2573---HQSJC8CAH2;HAD4S4S5S3
2577---C3S10D7H9H2;HJHKDQH3H7
2581---H2S9SJC2D5;H9H7D4C6SK
2586---D8H3CJDAC3;D5SKD2HKSQ
2593---C6D10C10D7H5;HJD6H3S5SJ
2596---HQD2H5C9SJ;H8C4D8H9D3
2598---CKS7C5S10C6;D2S4H7H9H5
2600---DQS8C4CQS4;S6H7DJC10SJ
2602---HAH3C2D5CK;C9H10HJDAD7
2604---D2H3DJC6D10;CKD6C8CAD5
2605---D3D2DJC2C8;S7C3H6C9CQ
2607---D3S3C2DAC10;D4S8SQDKHA
2608---SQCAC5H3D3;S3H9S6C8H6
2614---H5D5S4CAC9;D4DKDQS3CK
2615---H6S9H3C9S7;CKC4D7HKD8
2617---DAHJD5H9D7;C4H2H8H7C5
2619---S3D9DJD6SK;SJC5C9S2H10
2620---CJS4S10SJC10;D10H4DKH10DQ
2621---HKS10C8H7HJ;D6H6S5S8D3
2622---D7DQH5S4SK;CQHKH10CAD9
2629---D6SKC6CAC5;D10S4CJH8H4
2630---C3DAHJD3S5;DQD10CAC4D4
2633---S8DJCJHAC3;C10H3H5DKH7
2636---HQHKS2CKS4;C6H8H10DKC4
2641---HJCKC2C7S9;C10H4H3H10C8
2643---S4CAH3SQH6;S2D8C5DKC3
2644---D6SKCJC2D5;H7C8CACKS9
2645---S3DKH3H5CQ;H4D7D2D4S10
2646---SJSQS6S4S2;C2C5CJD10C8
2648---D3SJCAD10C9;S4S6H8C3C8
2650---C6C2C5S7C4;S6C7S4DAH9
2652---CQD10C8HAC7;HQS7C10D8H6
2655---H10D6CQHKH7;H5S9S6SJC7
2658---HQD9D5H3HK;CJHJDJS10D6
2659---H7S7H9H8CJ;DJDAH10CAC10
2663---C4C9CQS4C10;C3S6DQS8D9
2665---H2D6DKD5D9;C8S9H10C3SJ
2669---HAD5DAD3DJ;CJH3C3SKH9
2671---SJS9DQH8S8;C5D9D7H10S5
2675---S9H2D7DQCQ;HJH5C8C3SK
2676---SQH6HJD3S6;C10C9D10D7H3
2678---D8H4D4SKH10;D6SJDJC7C10
2681---S4H10DJCKHK;D2D8SKD10S8
2683---S4D7DAC10H2;SKH7CJC3D10
2686---D6H2D10D9SK;HAHQHKC6H3
2689---H7SQHACQD10;HKHQC5DJH4
2690---H8HKC2CJS4;H9S10S2H10S9
2692---S3H2H8S10D6;C6DACKD4C8
2698---C9D4H7HKHQ;C10CJH5C2S3
2699---S7S3H6S5HA;DAS6D5H8H3
2701---C2DAD3C3S10;H10H3HKC8C10
2703---D9C9HQC5S5;H10HJH5H8S7
2708---D2S4DJH6C9;SKC10CQH7S9
2710---D8D2D7S8H2;H6CKH4S4H7
2711---CJDJH2D9H6;CAC10DKH8DQ
2713---S10S2S3D3DJ;D9D10CAH7HJ
2715---CAS8S10SJH5;CQD5H3H9C5
2717---C3DJC8C2CK;CAD10D4D3S9
2719---C3C10D3S2DQ;C7H6D8S6C5
2720---DADKH6C8DJ;D2C4S6CQD7
2722---D4HKDAC3CQ;H4HJS4H8S8
2726---HJSJH3DAD10;SKC5H8H2D2
2727---HKC5DADQC7;H10SKS3S2C2
2729---D10CAH5D3C9;H8HKDJH10S2
2731---D5C4H6DQC3;D7C8D3HQDA
2734---D9DQC8C2CK;CASQCJC5D4
2736---D3C6CAC10D2;S6H8S2D6CK
2737---C5H7SQC10S7;S5DQS8H9HJ
2738---SQCQS5H2S6;C9S8C6H3HQ
2740---S10D4H9C8C3;C7S7H6DAD7
2741---H4D6C3S6C5;S2D9HKC8DQ
2743---H2H6DKD5SJ;H10HQS4C8S5
2745---S3D8CAH4S6;S4H10S8C8SJ
2747---H10H4S7H6C7;CKC8C6H7D4
2748---DAC8S5H3S7;SJH7H5D4S8
2749---S10H6C3H2HJ;CQDJC6S5C4
2751---CAS4CKS2H8;D4HQS3C8H2
2753---H7CQDACJC5;HKC6D4D2HJ
2754---CAD10C8SJS7;CKCJD4S5H10
2755---H4H2S7SKD7;H8SQS5HJC9
2756---S8SJC9CJC4;S2S7D2H8DK
2758---D5DQD6H2D8;CJS8DAC8H9
2759---CQDJH7D7S8;SJHAC6C7C4
2761---C4H10HJSKDA;CAD9DQH2D8
2763---HJH7SJC4H4;S3D7S5S4S10
2765---D6DJC10D9D3;D10C8D2H9H4
2768---H5C9C3HAC5;D4H3DKD8D2
2771---S9S5H8D4C10;C3CAC2HKC7
2775---S6SQD9D2HQ;HJH2CKDKD10
2776---DAC6H10HQSK;D3C7H8D5D6
2778---H5D6SQHAC7;DJSKC8H2C5
2779---DJCQC8H6H3;HAH10H5H9D7
2780---H3CACKHAC6;S6H8S2H5D2
2782---D7S5SQD4S4;D2C5D10S2D3
2783---CKH6D7S3D6;S7C2C4H8H5
2785---S9SKCQH4S8;D3D8DKH2H9
2789---H3C3S5D2DJ;D9H5HJH6D6
2792---D4S2HAC3C4;C10S9D7S5D3
2794---HKC8C9C3CA;CQC2S4D4H3
2797---SKS8H3D4C6;S5D2H5H8D3
2798---S9HQH3D3C3;HKH10C7D7C2
2799---C6C5C10HKSJ;H2CKS7CAH3
2801---CJS2D2H9HK;H4C8SKH6S4
2802---S6CQS4S2SJ;C6S9C4HAH5
2804---D7S2D10C8S5;HJH6CJC3S4
2809---S8D5H2C4H9;H10D6CAHKH3
2810---D9D6C7C4S8;H3H7DAHKD4
2811---D10C5DKCKS10;S7H4C3D6D9
2813---S8C7DKS4H4;C8HJD2HQS5
