4---C9D7D9S7D2;HAC5S8D8C10
1428---C5D5H9C6CA;S8DQD7SKHQ
1432---H2H9S2C7C9;HAHJSJC3D8
1433---H6C5C4D7DJ;S8D3CQSJHK
1434---S9DJD6H9C3;C5D5D7D4D3
1438---C8D2SKC4S3;D6H10C6H2S7
1442---DQHKH5C4D6;H2CKD4H7D10
1444---D8CAD4H6H5;C3H3HJS8C7
1446---S9HASKD10H8;H7HJD2D8H4
1447---D4H5D5HKH6;H7H10H8C4DQ
1448---H6C3S5C10SK;S4SQD9CKC4
1449---S8S6DAC2DJ;H10HQS5C6S4
1455---SKCKC5D8HA;C2D7S10H5C4
1456---C5D8H4C8H2;HKD6H3H7H8
1457---SKDJSQHQHK;S8D5H5D8D7
1462---DKH7C3H6DQ;S8C10CJC9C7
1465---S3C10H3D7SJ;S6DAHACKS7
1468---HJS3S4CQS5;D2C4D3HQDJ
1469---H7H10H5D9H3;D5C10SQH6S10
1471---HQSKC10DKH2;C5CQHJD9C9
1472---H7DAD4D7C2;S9CJC8H8C5
1474---D2CKD4SJD6;H5CJC6D3S7
1477---C4S2D5S3D6;D3C2C5CJSK
1480---C10CAC8C3D5;S3D4S9S4CJ
1482---C7D2S7D4D7;DAS2DQH5SQ
1483---D9DKH8D3D6;H4H7C8S4C6
1484---HAD6S6SQC3;S8H4C4D3S5
1486---S8H5D4C7D3;DAH9SKS6CQ
1487---HQS4DKCQC10;DAC7SJDQS5
1488---S2C3DAH7D5;H5S4D3DQH3
1492---CJCKS3D3DJ;D9H2H8C7DK
1497---H5S9S6C10H2;H7C4CKH3C7
1498---D10S10DJS5D4;D6D3HQHJS8
1499---C9S9D4C7HQ;D6C6S3H10H8
1501---H9S3C7H2H4;S5SKS10H6C2
1503---CAC7C3S10C5;H4HJD9C9D10
1505---C5H10C7H4D3;CQS3DJD5HQ
1510---H9D9D6C2HK;SQS4HJS6HA
1516---H3S8H7SQH2;CAC3HKC10C8
1518---H10H5HKD2C3;H6H3C4H8S3
1524---H5D7S8C2D6;D5H6S3H7CQ
1526---DJH5D2H8H3;H6C3H7C6D3
1529---S5C2DQS8H5;CJS10D5HKHJ
1531---C8S8S4D10S6;D7H8HAHJCJ
1536---C6H7C4CKS7;HQS10HJS2CA
1538---S10S4S7C2H6;H3D10C7H2CA
1540---H10HQHKH5DA;C3S2D2S10D8
1541---DJS4DAD4H9;HQD6C2CQS9
1543---H6DJD5D9DK;S7C8C3S4SQ
1544---H10HKCJHJCQ;D10DJC3S4CK
1547---D5D6DAS3C7;H7HAH10CQD7
1549---C5H4SQSKC2;S2S5D8D6D4
1556---H10D2C9H2DA;S8DKDQS4D10
1557---H2C10S10SKH6;H5D10S8CADK
1559---C6DAC5H3D2;D9C9CQS8H5
1564---DKC7S6D2S2;C3C4CKCAS7
1568---SKHAD5C8C9;D3CKS10CJDK
1575---H5D2C3C8H8;D3S10D8C10DA
1577---DKDADQH3D7;D6D10H2D3C9
1579---DKD7C7DJSJ;C3DQD6S9C2
1582---S2H6S9C9C10;H8S7C5C2C3
1583---S7SQSJD4C6;CKH9S2SKH6
1588---H7D7C6C9CJ;SQC10SJHKC5
1591---DKD6S8D3C10;H7S9C9C7DA
1592---C4H3H4CJC2;H6HACQS10S8
1595---C10DQCJS3S5;D4H4HQS4S2
1598---SJDJS7S9DA;DQH4H2H8D7
1601---H5S9S2H6S7;H9D5DJSKC2
1602---H6HAC2DKD5;D3D6HJC3S8
1604---S5S9HJH6SK;S10D7H7D10D4
1606---DKS8S4D10D6;DQDACAC4HQ
1607---C5S6S2D4S8;D5C3CAD3HJ
1610---HAC7CJH10DJ;D5D3S2HKS7
1612---D7H9D8D4DA;CQS10S9SKD6
1616---DKD10C9CQD9;S8D8DJH3D7
1618---S9HJS2D5D3;D6C9DAH8H2
1620---S5HQSJCQH5;D7CAD10S8D8
1624---H3C5D6H8C9;H10CQH4H2S5
1626---C5H10S8S5CA;H4S7HKHQD3
1631---H3D9S8C6C4;HAHKCJS7C5
1632---S2H3C4H4HA;DJSJH10S10H2
1638---C8CQD2C3H4;CAHQH5S9D6
1643---H10D9S10CQH8;C6H9S4S5D7
1645---C9HAC10H6C3;H10S10CKSQC6
1646---C5C8C7C2D7;CJCAD9D6D8
1648---C2H8C10C7SQ;SKC9S10D7H5
1649---C4SJD2D8S9;H2HKC9D6C3
1651---HKC4H6H9S2;C6H2C7DAH5
1653---H8H5DAH6D7;D5S7D3D6D2
1654---CKD9D3C10CJ;S9H4S4S6S8
1658---H8SJD9CKH5;S6D7C9H2S3
1659---HKS2HJH9D9;H7S5S10C4CJ
1664---HJD5D2C3C10;H9C9CJC6H10
1665---H9SJCQHADK;C5H10D7C9D3
1668---HQDAC2D7H9;C10HAH4DQDK
1669---D9H10D8CAS9;S10H6H5D7S5
1671---H8H6D9DKH3;H9C9CAH2H4
1673---D8DQH5SJCJ;D6C6H6D5S8
1674---D10SQDADKCJ;D3H10D8C3S8
1678---S2DJSQC3H10;HQD8H3DKH2
1682---S4DKD6HAD9;SKS7CKC10HJ
1683---HJS8H2S3DQ;DJD6D8H3SJ
1685---S5D7S8H7CA;D3S7H5CJH10
1686---DAH2SQH7C9;C8C4S5H3S4
1687---D5C6S8C7CJ;CQD2SQC10HJ
1688---C5C6D9DKDQ;HKDASKH10S4
1689---CKS4D7D9S6;S10HKD2C9C6
1693---DKCKS2C4HJ;C5DQH2DAS5
1694---H5D2S10CQDJ;C3H7SJDKC7
1698---HKD5CQS10C5;S3D9H4D10H8
1699---D9D10C5S5HA;H7C10C6DQH5
1706---H7S5S8H9D8;SQC9HKD5C10
1707---SKS6H8H7C9;D8S5D9C8SQ
1708---HQDJS4H6C5;SJS10S3CKDK
1709---D9S6C7C8H7;D6S9D2CQH5
1710---D6C7H8CJH7;H5H6CKD2D10
1712---CKS7HAH8S10;H5CACQH2HK
1715---H10C4D10D3CQ;HQCJC7D2C3
1718---HQS5H4SKS9;H6D6D7HAD10
1728---DJH6H5D3D6;C6S5D2C4D7
1732---S5S9C9S4H7;D3D7D10DJC4
1733---HAH8CQCAHQ;CKD4D3DAC6
1736---C7H8C9CJH4;DAS9D9D5SQ
1737---CQCAHQS2S7;D8C9C5DKC10
1738---D7S4S10H9S6;HJCQS3DJSJ
1739---S8H4H3C4D9;C9D8HQH5H10
1744---DQS6C6S10S3;H7S9DKC8CQ
1746---C8S10DKDAD9;HQH5D8DJH8
1747---S4S8C6DJHK;S9CKD2CJC5
1748---H8H6DKDQC6;HAS6H10HKS3
1751---CJH5S9S5C8;S2C2DJHAH8
1753---DJC4DQCKS4;H10H8D7CQD10
1756---C6HQC2D10HJ;D4H7H3D9S2
1757---D3D10S5H7D9;C10H3HQC8S3
1758---S2CQSKC10H8;HJHKH2S10HQ
1761---C3H8CJS9S5;SQH5SKH6D6
1763---H9D8S7D2C4;D6D3H4H10H8
1764---D6H9CAD3H4;SKC8H8H10H7
1765---C8S2HJCKS10;C4DQDJC3CA
1766---SKH9CQHKH7;S6DKH5H8C10
1768---H7D10C10SKC2;H4C7S7D7D2
1769---S10H2HKD6H4;C4DKD5D8C10
1777---DKS5C10S8SK;CKSJC6H2S4
1778---D3S10DKD10CA;CJC7C5SKS6
1780---CKC6S7S4H2;D6D9H8HKC5
1783---S7DQS3CAHQ;CKD10C9C5H4
1787---SKC10D6C7D7;H6S6C8DJHA
1788---HQD4S2D8SQ;H8H10SJH3D10
1791---D6S6H10SQC10;D3CKS5C3HQ
1792---H2C4C5SQS3;S9C7D9C9C10
1794---H3D5H7D7D10;HQC3S8DAH8
1798---SJSKS10H6H4;DQH10H8C5C4
1801---D2D4CKC4S10;S4H7S2HQDJ
1803---D8H9DJC2S10;H2H7C5D10C8
1811---C3D7DKCAH10;S2S10D3HAC10
1812---S7CKD6S4HA;C4D8DACAC7
1813---DKH2DJC10D2;S4H10C3D8S8
1814---C8CACJC10H3;D2S7H7C4D8
1816---S4SQD8CQC8;H8C6DAS5H7
1822---HAC10CQS6CJ;C5H6D6H10S4
1823---H8H4SKD2CQ;H5H6C7HKC6
1824---H9H8HQD10D3;DJD8HJSJHA
1826---SKD7CQCKD9;C6CJH9H6HK
1827---C10HKD9DJD10;H5CQCJS8HA
1831---CKC6D10C7S7;S4SKC8HQDA
1834---C7D7HJDJD3;C6H5DQC2SJ
1836---S5HQS6H7C2;H4C9HKC5S3
1837---H4HQSKH9CQ;DAD5CAH3DK
1838---SKD7C10D9S3;H9C2DQSJC6
1839---D8C2HJDJCA;SKC7H2C4SQ
1842---CKH9H5D9C9;H4S9H2S10HQ
1843---DJD6C4C5H9;C2HKS5DQD9
1845---C6S4DQCQD2;C8H3S8D10D8
1851---C7H8C2DKHJ;C6H3D10H9C3
1855---S5D8S10D9D3;H9SJC10SQD2
1857---D9C3DJS9S4;D7C4SKC10S2
1858---D3HJHAD9D6;DJS4H3H5C5
1859---H2HJD2S6S5;HQH9D9D3SJ
1860---CJDJS7S6H7;H4D2DQS3S5
1863---D5S6S4CJSK;D7S3DJH3S10
1869---H2S8D9H7HQ;H8DJCKS3C3
1871---DJD9S9DQC8;C7SQC2D10C6
1873---S9C5S3D3CJ;D7S10H4HJH8
1875---D4CQS2DAH9;C4C6C7SKS8
1877---H2C9HQCAH4;H8HAC4DJS7
1880---S2C7C6HQDK;DAC10C8CQD8
1885---DKC6C8DJD4;S5H10H6C5H7
1888---D10D9C5C3SJ;H6S9SQSKH3
1891---S7D2D4H4S3;SJHAHQDJH7
1893---DKH3C2H2C6;CQC8HAS6S10
1895---D5SKHAC6H4;C5HQC2D4CQ
1899---DAD6D8D2CJ;HJDQS6C8C10
1904---CJHKS10S8DA;S9S6SJD6HJ
1911---C8H6HAD5D9;C2S2SJS6D3
1913---H6S5HKC9S7;H9C2DKH10H4
1918---D6HAH4S9SJ;D3C8S8D9CA
1919---SJCQSQH5H2;H6C10HJS2D9
1920---CQS3D2D8H8;C4C2S6C8C3
1921---D5CKD10H7S10;SKS9C10D2D7
1922---C4S2CKD4SQ;H8D3S6C8HQ
1926---D7H3D4CQH2;C2D3C9C4SQ
1927---HKS4D2H3H5;D8S6H9D10CQ
1928---D2D8C3S8D9;C5HQH6S3H9
1929---HACJHKDQC5;S10C4D7D6H4
1939---S8CKH9DAS9;DKD5D6C7H8
1940---D8DJH8D5S4;S7D9S9S10C8
1946---CJD8D2C4H9;S6H10H6D10HK
1948---C8H4S6DQD2;DKC10H5H10C9
1949---HQDJDQC6S9;D3C9DAC7C3
1950---H6DAC8HQC4;DJHJD7S9HK
1951---H4C9D10S3C3;S10C8HJC7CA
1958---SKS5D2S6H3;D9HKCKCQD6
1960---S7H7C4C3C6;SQC9CJD6CK
1962---DJD8HKCQC6;S4H2H10S2S7
1963---D7H4C8DKS9;DAC4H9D9C6
1964---H5CJSKCKC5;D7H10H9HJD9
1965---HQS2C8DKCQ;D3S9H2H3D2
1966---C9D4H10H2HA;CQCJD9C8H7
1968---DKSJH5CKD4;HACJHQD8S7
1969---S9CQDKD7S2;D9H8C6DQSK
1970---DJD8S9CAC8;D3HJS2H2H3
1974---H3SQDJH9S8;SJS3H4D7H10
1976---SJD8D3SKS9;CKS3H2H7C3
1977---H2D7D8D4HQ;C5CKS6C10H8
1979---HASQH4S9DA;CAH9DKDJH5
1980---H6C6D3H10S4;SQDQH5D9H3
1983---C9C5SKCAS4;S9S10HKDQH3
1984---C6DAH8D3D10;D4SJC5S4D7
1990---D4S8DAD10H9;C7H10DKS4D2
1991---SQS9S7S5CA;HKS3CKD6C5
1992---HADKH9D10C9;S4C7D8H4S10
1994---H4CQS3D6H7;HKC3S8C7SK
1996---D4S5S6DAH3;H8SQDQC3S3
1999---C9H5D6S8C4;DAS6CKCQS4
2000---C10HQHJSJCJ;HAC4DAH2S3
2001---S5HAH3D10S4;H5CKC2D8H8
2003---D3S10H10H8D9;D5C5H3S8C8
2006---S9C7H10C5HK;D7HAS7H3S5
2010---CJD3D2D5S5;S9S2H4SQSK
2011---C7D2C3H7C6;HAH10H6DAD10
2015---H2D4H9HAHJ;C5D10D8DJS2
2016---SJDQS8CQH6;HKH2D2CJS7
2018---CJD5C8SQH2;C5CKHKCQH6
2022---SKC2SQD2C3;D8HKHAS7D4
2023---D7H7C10H6HJ;D5D9DAS8S9
2027---D8HKS2D5S4;DKS5HQD7C6
2028---H2CAH4SQC6;DQS9S3D5C5
2032---SJS2H8S7HK;S10C2H9H7H10
2034---C10SKD5D4H10;DAS5C2C6HJ
2038---H9S5H10D3D7;D5SKC3DJS3
2042---HKD3D5C5CJ;S3C2H6S5D6
2045---H6S3S7H8S6;D4CAHQD9D10
2046---H7DJH5CASK;H6CJH2D3C6
2048---S8C4S9S2C7;D10S10D8H5S3
2052---HJSKS5C9S10;H5D8CJC2D7
2053---D2H3H4C10C6;S6SJH8C9S7
2056---D3C10CKS4C7;SJS3S8S7D5
2059---C6S3S4C3HK;C9C10DKS9C4
2065---H7SKDKS8CK;H6HAC10C6C7
2070---H8S2S4H3D8;C4HKHAD3D2
2072---D10S5DAC9C5;H2CAS6D3D8
2075---S5DJHKHADQ;D9C5CJSQC9
2077---D6CAS9D3DA;H3S6C8C6C7
2079---SQD2H9C9C3;H8C5SJDQS6
2082---DKS4S8D9S7;C10C2C5D3D6
2084---C9DQHJD6H3;S8H6S7DJCQ
2087---H6H7D7CAC8;S8C3SKDKDQ
2090---S7C6CACJD6;H3CQCKH8D3
2091---C10D9HAD3S4;D5S5S9D8C5
2092---S6S5CKD9C9;H10H4SQCADJ
2099---S4DQD3D8D2;CASKH8H4S2
2102---DJHKHQS2H10;H9D5HAS5C3
2103---D6S4CQS9H2;D7SJDAS8H8
2106---HJC5DJH5SQ;CJS6S2HQH10
2107---HKD9D6H9C9;CAS10C2HADQ
2109---CKD4D10DKC4;C8H3S4C10H6
2110---CJSQC7HJH2;S7D8S4D4D9
2113---S3H5H2H10H8;C10SJH7S9CK
2116---S5D6DKH7D7;D10DAH5C6C7
2118---S8D10HJH8C2;C4SJS6DAHA
2119---D5H8CQC4C5;CAH5S6H6C10
2120---D9H4H5D10D5;H6HADASKD4
2122---S7C6S9SKC4;DKCJS10S5HK
2124---D10H5D8C4HA;C7HQDACJC6
2125---S8H2CQS10S6;C4D3S5H7C2
2127---DKSJC4C6H9;HQH10CJCQD7
2130---H6CQDKC10S10;S4C6D8H5S2
2132---HJH9C5CKC9;S7CJDJS9H8
2133---HQS4DKS8C8;CJHJC3CAHA
2134---HKD3CAS10H8;H3S5H4D8D5
2135---H8HJD2CKDQ;S6S7D7C7C6
2136---S6H6C4D9DQ;C5C3S10H10D8
2137---C8D9S2H8C10;S7C7H3DJC5
2142---S5S8H10HKDJ;C3S3S2H9CJ
2145---C8S6DKH4C10;S4H3S9DQCA
2149---C10SKHASJH9;DAHQH4H6DQ
2150---D7HKH10DKCA;HAC10D4DJHQ
2151---C3H10DKC5SQ;D4D5DQD3D8
2152---C8H3H2DJS5;D3S4D2SKH4
2154---C7S3D9D10S2;S6D5CQH10SK
2156---HJD10HKS10C10;D3C6H3C3S7
2159---CKD6CQC8H6;S2S5C10CJSQ
2163---SJD3H7D2D5;DQHACKD7D6
2166---S3S5DKC8H9;S6S4S7H2C6
2168---CKH7D3DJS6;C10D6C9H2S8
2169---DQD9DADKH9;D8C8HKS3C4
2174---HKSKC4H8C7;D4S3S5S8DQ
2175---D4CKD6DQSJ;S6H2D7HQCJ
2177---C7DAH6C8CK;C5D10H8D3DJ
2178---HJCKCAH10SJ;H2HKD7C6S6
2179---DAC7C3SJS9;C5H5D2H9H7
2180---C10H10DJCKSJ;H5CQS5H7H6
2183---H2C10H3S5HK;C3S8DQC6DJ
2185---C9DKD3D4S7;S9H9S8H7C6
2186---H2S9H3CQH9;D3S8H4DKH6
2194---C7DQSQHJC5;S5H8C3HKDJ
2195---C8D4D8H4C9;S8H10DKD5C3
2197---C9CJC10HJC7;S2D9S9D8C5
2198---C9S4HKS7HQ;S2H9H6D8C10
2199---DJDQDKS8C10;H8C9S10D6SQ
2200---DASKD8H2CK;S3D4H4D6C8
2201---D6CJS4C7CA;D9SKH7C8DA
2202---C3H7D7C4CK;HJDAS5D6C8
2203---H2C4C3DAS7;CASQDQS2CK
2206---CAH9CJDAD7;H6C2H3S4D10
2208---D2HAH4D5S8;C8H2CAHKS6
2209---SJC9C5S10S4;H4D9S2H3D2
2213---DQD7D2DKHA;S5D9S8H8SK
2219---C7SKS7HAHJ;D2C5H7C4H10
2221---CKC7S3C10CJ;HJD5S5D10D8
2222---C8C2DQD4C10;C9D9C3SQS4
2224---S3D2H4D8D3;S2HQH8D7D6
2227---DJCJCAC2C7;C10H9S7S8S5
2228---C8C6D9CJHA;D4C5D3H2C9
2230---C6HKH3C10S9;H2D10C2HJS4
2232---CQDKC3HQH4;HAS4D4S9S3
2234---S8S10C7D10H5;D5HKC3DQHJ
2236---C7D8C4S7C2;H3SQH4S5H9
2238---S3H8H2CAS6;D3SKC8HQD5
2240---DASQC10HQS9;S4S5H6DJH3
2243---S9DQC3S8C8;H6D2DAS6S7
2246---C6SQSKD9D5;SJD7C4C10CJ
2247---S3H4DKH10H3;C6S6H2S2H5
2251---S4D7C7DAH6;SKC10CAS8D5
2264---HJS2CQC10H4;C2S10D2C6S5
2265---S7HKC8C5HJ;C9CAHAH6DJ
2266---C4S6S2HQCJ;H9C6CKD10D7
2267---HAS10C5H5D10;S3SKH6S9DQ
2270---D4S2CKSJSK;C7H10C5S4C8
2275---S6S4DQS5H4;CKDAC2D5C5
2278---DAH7H9CKC4;H4H2HASKS2
2279---SQHAH5HQC9;S7S3D3D10C2
2289---H10D7HQHKC8;S8DJCAS5D6
2291---D8C6S2DKC9;S7H7C2SKH10
2294---H8DKSJC6S9;C7S2D5S5C4
2296---D10S9H3H5CJ;C6C10H7HAS6
2297---C9SQS6S4H7;D8DAC8H6C2
2299---D3C2CQDAD5;CJC10D8C8H9
2300---CQS5S9C8S6;C6H9DKDAD8
2301---H8DQCKH2H7;C10CAC7HJS7
2302---DAD4H7D5C8;H4C5S10S7CQ
2304---CJHAC3D4D2;H6SQS7D8S9
2305---DACJD4C7C9;C8H7D7S10S9
2308---H3CQD3S10D10;D2H5CJDJD7
2312---D10S8D9H5H3;C3S3H6D2DA
2314---C10H4S2H10DJ;S6CQD2H5CA
2316---C6C4C8S5DQ;H6H8SKH5C2
2319---HJC9C5D5SK;D8H10CKS8H5
2320---C7HJSJCKD7;H5H8D9CJH10
2321---D5C8S7HQDK;H2D2H7C3S8
2326---C9CAH4SQD2;C8HQS2C10H6
2327---HJD4DAS2H10;D2D7H8C8C6
2328---DJHAC2H2D9;HQH10C3C8D3
2329---S5HAS2HKH3;D10C5H4D2C10
2331---D7H7S5C10CA;S6C8S10D10C7
2334---SJH2H5SKCJ;D4H3DQS5H10
2335---D4H6HJC8CQ;H3H4CKHKC10
2336---C9CKS9D2S10;C10H2D9D5S7
2341---D2S7HJH9C8;D3CKHQDKS2
2343---C9H4C4HQH9;DAC5S7D7S5
2347---D10SQD8S8S4;H4HKC8HAC7
2351---SKDAC4C5H10;C3S5D6D9S3
2353---SQH6H4HJS3;H9D2C8D4D5
2356---SJCKH5SKH2;SQC7C2D3C10
2357---CJS3H7H8S5;S6S2S10H6C6
2362---DQCKS4DAC8;H2CAD3HAD10
2367---D7HAS3H3DK;H7CJD9SKH8
2368---C5DKC10SKS5;CKC7H3H7C9
2370---D3C10S9D7CQ;SKS6D6C3HJ
2376---DQCKCQHKDA;SQHAC4D2S10
2378---D6C9HAS9CQ;S7DQHQS4H10
2381---S6H3S9H8C8;C2HKHJH4D7
2383---H3C7S9SJD5;H2C5DKC9C10
2389---S7D6H4SQDA;C2HQS5H9S6
2391---DQD3C9D10SQ;CADKH2D4S3
2396---HJDKC4D10H3;S5DQSJH2SQ
2400---D6CQCJH10S9;SJCADAH5HK
2401---C7S8H4CJD9;D6D2D4DKS5
2406---DJCKC7SJC3;SKD2C4D5C2
2407---C2CQH8H2S5;D8S4D2S8SJ
2409---S5S9DJC5C9;H5CQHQCKHJ
2410---D10C6D7C7SK;S3S2DJHAS8
2413---H6S10C5C9C3;H4H8C10S3DJ
2421---CJC2CQS10HA;H7C6C3D6D10
2422---DJC3C7H5H6;H9C4HJC5S9
2423---D6D7D3C7S9;CQC9HKS5S4
2426---SKDKCJH8S10;D7S5C2D9D8
2427---D2DKC8H8H5;S9C3H10H2DJ
2428---C2S9D10S3S5;HQHAD6H6C6
2429---D6H8D4S9C3;S8DQS4H9D3
2431---S3H8HQD2D3;HASJHJCJSK
2432---CQSKD3D7H5;H4C7HAC2S8
2435---S5D4H7CAH2;H10S9S4C10SQ
2436---D10C8D2CKHJ;D6CADJD9H5
2437---DQSJC2C6S2;S8C5S7HJD10
2439---C6H9HKS9D2;DAH8DKS10S5
2442---D2D5S4CAC8;C5C10S10H2C6
2445---C8C9S4HAC5;H3SJC7S5D8
2448---S10D3S2HKS7;C4SJDACKS3
2451---H8H3C9CQS9;S2DQD3D10S6
2456---H10D9D7H3D10;C8S6H6SQD4
2457---H9D7HKCQS4;C4C7DAC3SQ
2460---S9D5HKS8D9;S3C10H9D2C3
2461---H7D3CJHJC5;H8D4HKHAH4
2464---H10H8DJS9CK;C6S2H7CAD9
2466---C9H6H4C10C2;S7D6DQCQDA
2467---S3DAC5D6H4;HASKC3DJS5
2470---DQC6HKD5H7;D8SJC4D4D9
2472---SJD2S8H3S2;C10D5DJD6D3
2474---D4C3C10D10H6;D9H2SQHADK
2475---H10CKS6SJD2;D9H4C4H2C8
2478---S3D10CQCKH9;D6D4S2S6C5
2479---H3DKS3C4C7;S5S7D4S4D2
2482---S5H2H9DKD3;C4C5D8C3H4
2483---D5D2C4SJD8;H2S2C8C7SK
2486---CADAC9H3DJ;S4C5H7HAC6
2487---C7C5CKCAH6;D6D10H2S9DK
2488---S8C3C2C6HQ;HKH8SKD8C9
2489---H9H3D7H6SK;H7CKD4HKSQ
2491---S5D6CJS9C2;C3H8SJH7H3
2492---H3HJD8S10S9;C6H5C3SQCA
2495---C2D3H4DJD6;H6S2CAD5H9
2496---CQH7C5H3CA;HAH10H2D6SQ
2499---D3D10C10D6H10;S2D8C4SQHQ
2501---C5H2S3S10S8;H8C6D2C9HA
2503---H3CAC9C7CK;DJH9H7DAS8
2504---D7D6C10HQC7;H7H4H5DKD4
2505---C4H6CKC8C9;C3C10S8DASK
2507---C10HQSJD10D7;C8C2H3S10H10
2511---D6H8H7D5SK;C10S6C3D2H2
2512---C10D3CKSJS10;S7H10H2D4H5
2514---SJSKHQD4C6;C2H3DQH6D5
2518---H8C2D8CAC6;C7DJS4H10S2
2519---S2D8HJD4H4;S6SJC8C4H5
2520---CAD9S3S2S7;C8C7S4H7C5
2522---H7HKC7C8H9;S4HQS10H3S8
2523---HKDQDAS4HQ;D9H10D7CJS5
2525---H8HQD2S9CQ;DKD9D10C2H4
2526---SKD7S7HKH4;S2SJS6CJH3
2527---DKS6C2D2C9;C4CJC7H5D9
2531---HJD10DQSQCQ;CKSJC2D9D4
2534---H8H6CKS7S8;D6DQC10C3H9
2535---H6CKHJHQH10;H5D9CJDAD6
2536---C3S5D9D2H7;H2S3C7S9S7
2542---C9H9H7D3HK;S5D7DJH10CQ
2543---C10SQS10H10S2;H6D3D5C3DJ
2546---C6D8H6HKD5;S6S2C7H8C3
2551---S8C9C7D6D5;C10HQDKC6S5
2556---D9CAC7DJHJ;DKD6DQC2H8
2565---HQCKDJH8S5;C8C7CJHJD9
2568---D7DQH10S8HJ;C6D3S4DKH8
2569---S5C10S2HJHQ;S6D8H5CASQ
2571---D3C7D5HKSJ;DKCAC5S10C2
2574---HQC9H4S7C2;S8HKC8DKC3
2575---D2DKCKD6CQ;S10S8SKH8SJ
2576---H9HAD8H4D3;C7S5H6H8D6
2578---D5CQS10D10D3;CJDKC5C3C6
2579---C8D5CAHAH3;H2D4H5SJSQ
2580---CQC2H8DQCA;S7H2HQD6SQ
2583---S4D6S7DKC4;S2HACJS8DQ
2585---C10HAHQS5SK;C7CAC5C6S2
2587---HKC10H10D2S3;C7S9D5HQCK
2588---D3S7CJDJD9;C7H6S8H10HJ
2589---D5H5HQH3C4;S4S2C8H2HK
2590---HQDJSJC8H10;C3CJH2DKC10
2591---C7HQD8D9H2;D10SKC2C9D4
2592---C6CKH4D8HK;D3C8D4C10S5
2594---D3C7CKS10C5;S5DASQHKD8
2597---C5H9C7H10D4;D9H4S3DJHJ
2606---HKC8S9D10H3;SQC4D7C3C2
2610---H2S3S8H6CJ;D9S9CQS5S10
2611---S10H4C9DKH6;C6C10HQS4H9
2613---H9H3D10HJHK;D4D3C5S7D7
2616---S9H6C2HQSK;D2H5DJHJH2
2618---S8H5HKC10S2;S4CKS7DKHQ
2623---C9HKS3S10CA;D9CJC4H4S9
2625---D7CAD5C5S2;C2S3HJDJS9
2626---SJH5D3S5HK;S3H3C3S10S8
2627---C5S2C9H3S7;H10S10CKCADQ
2628---HKHJD9CAS5;H7S8S10D4D7
2632---S10HQD6CKCA;DACJH3D2S7
2635---CKH3S7S6S2;S5D10SQH4C2
2637---HKS7H6H8S5;CQD2S2HAH4
2638---D6C5C2D9C9;S8D8D7S3H7
2639---D9DQCAD4C4;C5S2SKC8HK
2647---H10H7C9C7H2;C6H9HJCJC3
2649---C4H4D5H9C10;D3CJD8S3DJ
2651---C8D6SQC5H7;H3DQSJC2HJ
2653---S5S8DJS9D5;S10S6C10C3D9
2656---DJCKC5SJD5;C2H10HKC6C4
2660---SJC4CKH3D5;HJC8SQD6C3
2661---SJH2H10S10C4;SQD2HJHKDK
2667---H4C2H5C4S3;HJD9H6HQD10
2668---CKH3C2C4D6;DKD9DJS9D8
2670---C4S9CAS5SQ;H5C6C9S3D10
2672---H7C2C8S6SJ;S10CAS7C4D8
2674---H10DJC9C6SQ;DKCQS5C4H5
2677---D6C7S5D7D4;HKS9C3H4D9
2680---D8HKS9D5D6;H2S3C5D10D4
2684---H7H10H3H4C4;D2S6C2CAHQ
2687---HQH9C5DQSJ;C2D5D2S7D4
2688---HQDQH6D5C10;CAS9S7C4SJ
2693---H3DKDQC8S7;S2CJC5H2C4
2694---S9C7S3D7S6;H7DAS5HAC5
2695---SQC8H3C4D3;D9H4H2S5D7
2697---D5H10CJHJC10;C8D4S5S9C2
2704---C2D8DQS5D5;S9D7D3H9CQ
2705---C9S8HQD2HK;S5DQD7C4SK
2707---D4S2DAH3H5;H4D8D6C6CQ
2709---D7C9H3CKC7;SQHJS3S10DQ
2714---DJHQCKS5D8;DKD5D7SQC6
2723---S8H3SJD8D9;H4D2SQH2HQ
2724---H6S6HAH4HQ;C9H8C4CKH3
2725---HQH3H9SQH7;D2DKD8C3S5
2728---S10D8D7CJSQ;C5D6S7CQD3
2730---D6CAHJC4S7;S3S2C9H4H6
2733---SQH7D6C7S6;C3H10D8HASJ
2735---SJH3D6D9H9;CAC3D2CQS2
2739---CAC4HKSQHJ;D4S9H5C7S8
2742---H4HJC6CQS7;DJC2S5CJH2
2744---H9H4HJCAD3;S10S5S2S6DA
2750---C10C8C4SQC2;D7D10S5DAH10
2752---C9D5DASKDK;D9CADJS9D4
2757---CJC10H2C3H4;H8S4DAD7DQ
2760---HQD3S9D9S6;S2C4DADQSQ
2762---SJDAC8C9CQ;H8H6HKH7DQ
2764---C4H4H10S6CA;S5D9H2S2D10
2767---D8SJH6S2S9;D2S10C7D10H5
2769---DACKD8CQHJ;SKH8SJC7C2
2770---D5CKC10H2HQ;C4D7S4HJS10
2773---D4SQD8H2S4;HAH3CAC9C5
2777---CJS4CQS5SK;H2C8HQH5HJ
2781---D3DQDJS5C7;D9S3CKSKS9
2784---S4C6S7D5DQ;S10H2SQH5D2
2786---HJD10HQC4SJ;S6S3D9CKD2
